,Vendor Id,Status,Name,Date,UpdateProfile,Found_2023-08-22 12
325,314696,ACTIVE,خانه کباب گندم,2023-08-13 12:27:03,,
326,50835,ACTIVE,نان نابروتا,2023-08-14 10:00:04,,
327,16561,ACTIVE,لئون (مدرن الهیه),2023-08-14 10:15:03,,
328,294559,ACTIVE,آبمیوه بستنی سان استار,2023-08-14 10:30:12,,
329,26919,ACTIVE,کولاک,2023-08-14 10:45:03,,
330,32284,ACTIVE,گروه غذایی میهمان,2023-08-14 11:15:05,,
331,260108,ACTIVE,آبمیوه و بستنی یزدی,2023-08-14 11:15:15,,
332,294997,ACTIVE,لبنیات سنتی لیقوانی,2023-08-14 11:15:21,,
333,20102,ACTIVE,ایران برگر گلدن,2023-08-14 11:30:03,,
334,286706,ACTIVE,فست فود مامان جون (شعبه شهران),2023-08-14 11:30:17,,
335,79051,ACTIVE,آبمیوه بستنی لوتوس,2023-08-14 11:45:12,,
336,225242,ACTIVE,گلدچیکن (سوخاری طلایی مطهری),2023-08-14 12:00:16,,
337,29555,ACTIVE,آتیش,2023-08-14 12:15:06,,
338,34660,ACTIVE,رستوران سفره خانه سنتی زعفران,2023-08-14 12:15:07,,
339,98534,ACTIVE,سفره خانه سنتی گلاب,2023-08-14 12:15:20,,
340,263450,ACTIVE,فست فود آنا,2023-08-14 12:15:32,,
