,Unnamed: 0.1,Unnamed: 0,Vendor Id,Status,Name,Date,UpdateProfile,Found_2023-08-22 12,Found_2023-08-22 15
209,209,209,317823,ACTIVE,فست فود واران,2023-08-10 11:45:33,,,
210,210,210,43997,ACTIVE,تهیه غذای سعادت,2023-08-10 12:00:09,,,
211,211,211,70672,ACTIVE,غذای خانگی دونر,2023-08-10 12:15:20,,,
212,212,212,103272,ACTIVE,بستنی ایتالیایی چوبیک,2023-08-10 12:15:26,,,
213,213,213,292618,ACTIVE,بارباراس برگر (نیایش مال),2023-08-10 12:15:52,,,
214,214,214,317181,ACTIVE,آبمیوه بستنی عمو حسین (شعبه اقدسیه),2023-08-10 12:16:06,,,
215,215,215,320353,ACTIVE,فست فود حاج حسین,2023-08-10 12:16:07,,,
216,216,216,34392,ACTIVE,رضالقمه (رودکی),2023-08-10 12:30:08,,,
217,217,217,285649,ACTIVE,رستوران مرسیا,2023-08-10 15:30:37,,,
218,218,218,102649,ACTIVE,فست فود دیدومک,2023-08-10 15:45:20,,,
219,219,219,50683,ACTIVE,ابمیوه بستنی سان استار,2023-08-10 16:15:09,,,
220,220,220,58148,ACTIVE,کافه رستوران رافائل,2023-08-10 16:15:11,,,
221,221,221,43383,ACTIVE,رستوران ایتالیایی گاندی,2023-08-10 17:30:07,,,
222,222,222,61426,ACTIVE,آبمیوه بستنی اکسیژن,2023-08-10 19:15:14,,,
223,223,223,62705,ACTIVE,رستوران صدف 1,2023-08-10 19:15:14,,,
224,224,224,79942,ACTIVE,تهیه غذای نعیم,2023-08-10 20:30:46,,,
225,225,225,288476,ACTIVE,رستوران نصر,2023-08-10 21:04:38,,,
226,226,226,10704,ACTIVE,رستوران کالوشه,2023-08-10 21:30:12,,,
227,227,227,291868,ACTIVE,فست فود ترنج,2023-08-11 0:30:05,,,
228,228,228,270878,ACTIVE,دیزی سرای سلطان,2023-08-11 7:45:06,,,
229,229,229,63574,ACTIVE,تهیه غذا مش حسن,2023-08-11 8:00:03,,,
